50,20,11,2021-06-04--2021-06-11,Build a Bitch,9841998,Bella Poarch,389076,7BoobGhD4x5K96Me0hqC8Q,2021-05-14,89
51,19,4,2021-07-02--2021-07-09,"Nicky Jam: Bzrp Music Sessions, Vol. 41",9799701,"Bizarrap, Nicky Jam",3126961,03LfOYi0icz4souspZVVhq,2021-06-30,88
52,52,4,2021-07-23--2021-07-30,Tiroteo - Remix,9781153,"Marc Seguí, Rauw Alejandro, Pol Granch",45362,4OwhwvKESFtuu06dTgct7i,2021-04-01,88
53,19,3,2021-07-09--2021-07-16,NDA,9635619,Billie Eilish,47014200,38GBNKZUhfBkk3oNlWzRYd,2021-07-30,84
54,40,14,2021-06-18--2021-06-25,Rasputin,9600707,"Majestic, Boney M.",32178,6FO4K7MrMoYkc5BlpX5LNV,2021-06-25,49
55,52,9,2021-07-02--2021-07-09,Leave Before You Love Me (with Jonas Brothers),9428494,Marshmello,31541310,4qu63nuBpdn0qHUHuObEj1,2021-05-21,89
56,56,13,2021-07-23--2021-07-30,Freaks,9319465,Surf Curse,495226,7EkWXAI1wn8Ii883ecd9xr,2021-05-15,89
57,57,5,2021-07-23--2021-07-30,Meu Pedaço de Pecado,9206366,João Gomes,409173,2kJRlOyrxsy7Ot3c5TZ8Q6,2021-06-01,83
58,31,12,2021-06-04--2021-06-11,2/Catorce,9086979,"Rauw Alejandro, Mr. Naisgai",6080597,71R8HJxQk5qMiRstrlXN9t,2021-02-14,87
59,34,21,2021-04-23--2021-04-30,Beautiful Mistakes (feat. Megan Thee Stallion),9048966,Maroon 5,32262679,5zFglKYiknIxks8geR8rcL,2021-06-11,88
60,31,15,2020-02-07--2020-02-14,Run,9017356,OneRepublic,12169108,2UbVnbE5FH6008mAm6Mmgw,2021-05-05,88
61,46,7,2021-07-02--2021-07-09,Thot Shit,8977336,Megan Thee Stallion,4787261,5zNW5ARjYhJQJz1AChP33n,2021-06-11,88
62,26,26,2021-03-26--2021-04-02,Your Love (9PM),8935418,"ATB, Topic, A7S",291777,5YaskwnGDZFDRipaqzbwQx,2021-01-15,88
63,9,10,2021-05-21--2021-05-28,brutal,8881356,Olivia Rodrigo,6266514,6SRsiMl7w1USE4mFqrOhHC,2021-05-21,89
64,2,34,2021-02-26--2021-03-05,Save Your Tears,8843110,The Weeknd,35305637,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,94
65,8,24,2021-04-02--2021-04-09,Heartbreak Anniversary,8832945,Giveon,1398563,3FAJ6O0NOHQV8Mc5Ri6ENp,2020-03-27,87
66,2,83,2020-03-27--2020-04-03,Don't Start Now,8821971,Dua Lipa,1250353,7njGslFmqBmOSSOpTyZCs9,2021-08-13,0
67,33,7,2021-06-25--2021-07-02,Dinero,8564775,Trinidad Cardona,116817,3ggtU1ZOKO8ZNiqPNyXGcm,2018-02-02,87
68,35,48,2021-01-29--2021-02-05,Sweater Weather,8564017,The Neighbourhood,6662605,2QjOHCTQ1Jl3zawyYOpxh6,2013-04-19,87
69,69,3,2021-07-23--2021-07-30,Sobrio,8514480,Maluma,26769304,4HzqWEdAbzcVFDv0pvxV4w,2021-07-08,87
70,12,83,2019-12-27--2020-01-03,Someone You Loved,8490162,Lewis Capaldi,8384096,7qEHsqek33rTcFNT9PFqLf,2019-05-17,86
71,71,1,2021-07-23--2021-07-30,Over The Top (feat. Drake),8269753,Smiley,26131,3yaYgjEFkRw3PVjW9mV1TO,2021-07-23,83
72,72,2,2021-07-23--2021-07-30,2055,8133401,Sleepy Hallow,408696,4XvcHTUfIlWfyJTRG0aqlo,2021-06-02,85
73,33,18,2021-05-07--2021-05-14,EL MAKINON,8102107,"KAROL G, Mariah Angeliq",17775316,2FSGUA0gFgGeQdprjtGM2M,2021-03-26,87
74,74,8,2021-07-23--2021-07-30,Loco,8093413,"Justin Quiles, Chimbala, Zion & Lennox",2895789,6PDlkWmrq2ZKiUuFt2aQsH,2021-05-13,87
75,75,4,2021-07-23--2021-07-30,Love Tonight - Edit,8006336,Shouse,27116,6OufwUcCqo81guU2jAlDVP,2017-12-14,87
76,12,11,2021-05-28--2021-06-04,ZITTI E BUONI,7975148,Måneskin,3377762,776AftMmFFAWUIEAb3lHhw,2021-03-19,86
77,2,23,2021-03-12--2021-03-19,telepatía,7912399,Kali Uchis,1999954,6tDDoYIxWvMLTdKpjFkc1B,2020-12-04,88
78,9,14,2021-04-23--2021-04-30,Botella Tras Botella,7735223,"Gera MX, Christian Nodal",2043294,2MnLkFqY9Rpg9s3Zv6ZJdK,2021-04-23,87
79,7,24,2021-05-07--2021-05-14,Fiel,7717211,"Los Legendarios, Wisin, Jhay Cortez",31488,7Bk0uXKk1uPT0XuQbpFzvs,2021-02-04,88
80,1,83,2020-02-14--2020-02-21,Dance Monkey,7687058,Tones And I,2819593,2XU0oxnq2qxCpomAAuJY8K,2019-10-17,83
81,7,34,2021-02-05--2021-02-12,WITHOUT YOU,7642130,The Kid LAROI,2230022,27OeeYzk6klgBh83TSvGMA,2020-11-06,87
